instrument,date,openMid,closeMid,highMid,lowMid,volume
GBP_USD,06/28/2011,1.596925,1.59888,1.60444,1.5912,24491
GBP_USD,06/29/2011,1.59884,1.61064,1.61186,1.59706,26703
GBP_USD,06/30/2011,1.6106,1.604115,1.61129,1.59737,23129
GBP_USD,07/01/2011,1.604085,1.60759,1.6096,1.59886,20215
GBP_USD,07/02/2011,1.60759,1.60729,1.60759,1.60729,12
GBP_USD,07/03/2011,1.60729,1.60839,1.60839,1.60534,2607
GBP_USD,07/04/2011,1.60835,1.60499,1.61398,1.60329,14063
GBP_USD,07/05/2011,1.60504,1.60873,1.61284,1.59914,21084
GBP_USD,07/06/2011,1.60869,1.60001,1.60913,1.59478,20642
GBP_USD,07/07/2011,1.59997,1.59533,1.60182,1.59388,20476
GBP_USD,07/08/2011,1.59528,1.60576,1.60784,1.59318,21327
GBP_USD,07/09/2011,1.60576,1.60546,1.60576,1.60546,13
GBP_USD,07/10/2011,1.60546,1.60092,1.60546,1.6008,5031
GBP_USD,07/11/2011,1.60088,1.587035,1.60126,1.5867,25220
GBP_USD,07/12/2011,1.587065,1.59363,1.5958,1.57812,37419
GBP_USD,07/13/2011,1.59367,1.614085,1.61945,1.59065,32782
GBP_USD,07/14/2011,1.614115,1.615185,1.61764,1.6095,29499
GBP_USD,07/15/2011,1.615225,1.61364,1.61658,1.60764,21800
GBP_USD,07/16/2011,1.61364,1.61364,1.61364,1.61364,12
GBP_USD,07/17/2011,1.61364,1.609775,1.61513,1.6067,7262
GBP_USD,07/18/2011,1.609735,1.607955,1.61284,1.60053,22730
GBP_USD,07/19/2011,1.607915,1.61244,1.6178,1.60558,23244
GBP_USD,07/20/2011,1.6124,1.61569,1.61742,1.60688,21219
GBP_USD,07/21/2011,1.61565,1.63025,1.63418,1.6121,26302
GBP_USD,07/22/2011,1.63029,1.62998,1.63273,1.62648,17255
GBP_USD,07/23/2011,1.62998,1.62998,1.62998,1.62998,5
GBP_USD,07/24/2011,1.62998,1.63004,1.63447,1.62879,4048
GBP_USD,07/25/2011,1.63001,1.633845,1.63455,1.62621,19550
GBP_USD,07/26/2011,1.633885,1.642955,1.64392,1.63289,21930
GBP_USD,07/27/2011,1.642995,1.63377,1.6436,1.63128,21479
GBP_USD,07/28/2011,1.63373,1.63497,1.63833,1.62947,19925
GBP_USD,07/29/2011,1.63493,1.64261,1.64706,1.62614,22191
GBP_USD,07/30/2011,1.64261,1.64261,1.64261,1.64261,12
GBP_USD,07/31/2011,1.64261,1.64479,1.64754,1.63886,5893
GBP_USD,08/01/2011,1.64475,1.6304,1.64661,1.62378,29689
GBP_USD,08/02/2011,1.63036,1.62805,1.63288,1.62249,26345
GBP_USD,08/03/2011,1.62808,1.638595,1.64406,1.62648,30012
GBP_USD,08/04/2011,1.638635,1.625625,1.63965,1.62293,35103
GBP_USD,08/05/2011,1.625655,1.63891,1.63973,1.62466,36067
GBP_USD,08/06/2011,1.6389,1.63891,1.63891,1.6389,13
GBP_USD,08/07/2011,1.63891,1.639395,1.64784,1.63878,12586
GBP_USD,08/08/2011,1.639355,1.63203,1.64728,1.6268,46404
GBP_USD,08/09/2011,1.632,1.628695,1.6411,1.61758,54833
GBP_USD,08/10/2011,1.628655,1.61775,1.62874,1.61117,41124
GBP_USD,08/11/2011,1.61771,1.62043,1.62434,1.61183,37424
GBP_USD,08/12/2011,1.62039,1.62777,1.63124,1.6167,23683
GBP_USD,08/13/2011,1.62777,1.62777,1.62777,1.62777,12
GBP_USD,08/14/2011,1.62777,1.628045,1.63048,1.62688,3305
GBP_USD,08/15/2011,1.628085,1.63675,1.64094,1.6256,18199
GBP_USD,08/16/2011,1.63679,1.642465,1.64763,1.63232,21163
GBP_USD,08/17/2011,1.642425,1.65221,1.65919,1.63488,23094
GBP_USD,08/18/2011,1.65225,1.648685,1.65555,1.64209,27439
GBP_USD,08/19/2011,1.648715,1.6462,1.66181,1.64448,25366
GBP_USD,08/20/2011,1.6462,1.6462,1.6462,1.6462,12
GBP_USD,08/21/2011,1.6462,1.64793,1.65106,1.6462,4189
GBP_USD,08/22/2011,1.64797,1.64813,1.65213,1.64361,17654
GBP_USD,08/23/2011,1.64817,1.649625,1.65727,1.64703,22389
GBP_USD,08/24/2011,1.649585,1.637225,1.6534,1.63524,20049
GBP_USD,08/25/2011,1.637185,1.63091,1.63974,1.62608,20376
GBP_USD,08/26/2011,1.63087,1.63681,1.6379,1.62084,21821
GBP_USD,08/27/2011,1.63681,1.63681,1.63681,1.63681,12
GBP_USD,08/28/2011,1.63681,1.63655,1.63832,1.63248,2804
GBP_USD,08/29/2011,1.63659,1.640665,1.64547,1.63659,13576
GBP_USD,08/30/2011,1.640705,1.63154,1.64194,1.62557,19543
GBP_USD,08/31/2011,1.6315,1.623105,1.63343,1.62244,18935
GBP_USD,09/01/2011,1.623145,1.618465,1.62526,1.61324,20388
GBP_USD,09/02/2011,1.618425,1.6216,1.6254,1.6172,19224
GBP_USD,09/03/2011,1.6216,1.6216,1.6216,1.6216,12
GBP_USD,09/04/2011,1.6216,1.618325,1.62176,1.61368,5073
GBP_USD,09/05/2011,1.618365,1.609185,1.61858,1.6062,20684
GBP_USD,09/06/2011,1.609145,1.599295,1.62075,1.59216,34708
GBP_USD,09/07/2011,1.599255,1.595855,1.60399,1.59194,23362
GBP_USD,09/08/2011,1.595895,1.598225,1.60832,1.59138,26920
GBP_USD,09/09/2011,1.598185,1.58825,1.59883,1.58446,29235
GBP_USD,09/10/2011,1.58825,1.58845,1.58845,1.58825,12
GBP_USD,09/11/2011,1.58845,1.5848,1.58859,1.58252,6214
GBP_USD,09/12/2011,1.58476,1.58641,1.58858,1.57736,31352
GBP_USD,09/13/2011,1.58645,1.575635,1.5868,1.57532,31988
GBP_USD,09/14/2011,1.575595,1.576805,1.5815,1.57072,30153
GBP_USD,09/15/2011,1.576765,1.580525,1.58686,1.5736,25793
GBP_USD,09/16/2011,1.580485,1.57909,1.58416,1.57458,18298
GBP_USD,09/17/2011,1.57909,1.57909,1.57909,1.57909,12
GBP_USD,09/18/2011,1.57909,1.569945,1.57909,1.5685,8170
GBP_USD,09/19/2011,1.569905,1.566995,1.57558,1.56334,25914
GBP_USD,09/20/2011,1.567035,1.57335,1.57474,1.56622,25016
GBP_USD,09/21/2011,1.57339,1.546185,1.57388,1.54484,36356
GBP_USD,09/22/2011,1.546225,1.540305,1.55016,1.53282,43325
GBP_USD,09/23/2011,1.540265,1.54544,1.54915,1.53748,32325
GBP_USD,09/24/2011,1.54544,1.54544,1.54544,1.54544,13
GBP_USD,09/25/2011,1.54544,1.54537,1.55171,1.54357,6306
